"idx","in_time","out_time","location","fd_reg_date"
4800,"2017-04-21 15:51:07","2017-04-21 15:51:46","T1","2017-04-21 20:09:34"
4799,"2017-04-21 15:43:22","2017-04-21 15:47:17","C6","2017-04-21 20:09:34"
4798,"2017-04-21 15:43:04","2017-04-21 15:43:22","C6","2017-04-21 20:09:34"
4797,"2017-04-21 15:35:46","2017-04-21 15:36:51","C7","2017-04-21 20:09:34"
4796,"2017-04-21 15:34:43","2017-04-21 15:35:46","C7","2017-04-21 20:09:34"
4795,"2017-04-21 15:34:04","2017-04-21 15:34:36","C6","2017-04-21 20:09:34"
4794,"2017-04-21 15:33:51","2017-04-21 15:34:04","C6","2017-04-21 20:09:34"
4793,"2017-04-21 15:29:14","2017-04-21 15:33:38","C3","2017-04-21 20:09:34"
4792,"2017-04-21 15:28:48","2017-04-21 15:29:14","C3","2017-04-21 20:09:34"
4791,"2017-04-21 15:13:13","2017-04-21 15:28:10","C8","2017-04-21 20:09:34"
4790,"2017-04-21 15:12:48","2017-04-21 15:13:13","C8","2017-04-21 20:09:34"
4789,"2017-04-21 15:05:01","2017-04-21 15:12:17","C3","2017-04-21 20:09:34"
4788,"2017-04-21 15:04:47","2017-04-21 15:05:01","C3","2017-04-21 20:09:34"
4787,"2017-04-21 14:59:23","2017-04-21 15:04:23","C6","2017-04-21 20:09:34"
4786,"2017-04-21 14:58:40","2017-04-21 14:59:23","C6","2017-04-21 20:09:34"
4785,"2017-04-21 14:47:54","2017-04-21 14:58:08","C3","2017-04-21 20:09:34"
4784,"2017-04-21 14:47:32","2017-04-21 14:47:54","C3","2017-04-21 20:09:34"
4783,"2017-04-21 13:22:39","2017-04-21 13:27:04","C3","2017-04-21 20:09:34"
4782,"2017-04-21 13:22:12","2017-04-21 13:22:39","C3","2017-04-21 20:09:34"
4781,"2017-04-21 13:19:42","2017-04-21 13:22:03","C1","2017-04-21 20:09:34"
4780,"2017-04-21 13:18:31","2017-04-21 13:19:42","C1","2017-04-21 20:09:34"
4779,"2017-04-21 13:16:51","2017-04-21 13:18:20","C8","2017-04-21 20:09:34"
4778,"2017-04-21 13:16:37","2017-04-21 13:16:51","C8","2017-04-21 20:09:34"
4777,"2017-04-21 13:12:40","2017-04-21 13:15:46","C3","2017-04-21 20:09:34"
4776,"2017-04-21 13:12:23","2017-04-21 13:12:40","C3","2017-04-21 20:09:34"
4775,"2017-04-21 13:01:25","2017-04-21 13:12:15","C1","2017-04-21 20:09:34"
4774,"2017-04-21 13:00:55","2017-04-21 13:01:25","C1","2017-04-21 20:09:34"
4773,"2017-04-21 12:52:53","2017-04-21 13:00:45","O1","2017-04-21 20:09:34"
4772,"2017-04-21 12:51:04","2017-04-21 12:52:53","O1","2017-04-21 20:09:34"
4771,"2017-04-21 12:46:49","2017-04-21 12:49:04","C7","2017-04-21 20:09:34"
4770,"2017-04-21 12:46:21","2017-04-21 12:46:49","C7","2017-04-21 20:09:34"
4769,"2017-04-21 12:44:59","2017-04-21 12:46:01","O1","2017-04-21 20:09:34"
4768,"2017-04-21 12:43:49","2017-04-21 12:44:59","O1","2017-04-21 20:09:34"
4767,"2017-04-21 12:40:52","2017-04-21 12:43:15","P1","2017-04-21 20:09:34"
4766,"2017-04-21 12:39:47","2017-04-21 12:40:52","P1","2017-04-21 20:09:34"
4765,"2017-04-21 12:36:02","2017-04-21 12:38:29","P1","2017-04-21 20:09:34"
